img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/80.tif,2high_exsertion_low_seed_set,0.2857142857,91,26,5382,0.9578947368,0.2736842105,31,33.12,12.5207931177,-2467.7861373956,14.2229581407
../images/mask_set/2high_exsertion_low_seed_set/74.tif,2high_exsertion_low_seed_set,0.32,100,32,6720,1.0526315789,0.3368421053,31,38.56,1.872135788,-3738.1235929835,19.4209485532
../images/mask_set/2high_exsertion_low_seed_set/31.tif,2high_exsertion_low_seed_set,0.2934782609,92,27,5412,0.9684210526,0.2842105263,28,34.97,1.3613645749,-3524.8579124965,21.9620614264
../images/mask_set/2high_exsertion_low_seed_set/7.tif,2high_exsertion_low_seed_set,0.404040404,99,40,8955,1.0421052632,0.4210526316,28,31.23,7.5324786974,-1224.3342270968,16.6669153411
../images/mask_set/2high_exsertion_low_seed_set/119.tif,2high_exsertion_low_seed_set,0.2450980392,102,25,5052,1.0736842105,0.2631578947,28,29.75,16.3883841158,-1603.1575403485,12.6099706851
../images/mask_set/2high_exsertion_low_seed_set/45.tif,2high_exsertion_low_seed_set,0.4059405941,101,41,7320,1.0631578947,0.4315789474,24,33.2,0.2636182796,-2492.8441031264,25.7837245447
../images/mask_set/2high_exsertion_low_seed_set/139.tif,2high_exsertion_low_seed_set,0.2452830189,53,13,1527,0.5578947368,0.1368421053,25,28.27,8.7478140647,-5114.4088823117,17.6673798752
../images/mask_set/2high_exsertion_low_seed_set/69.tif,2high_exsertion_low_seed_set,0.4444444444,81,36,4764,0.8526315789,0.3789473684,27,37.6,-0.2388613825,-5799.0304656796,26.0018736869
../images/mask_set/2high_exsertion_low_seed_set/59.tif,2high_exsertion_low_seed_set,0.3679245283,106,39,7743,1.1157894737,0.4105263158,29,34.62,2.5231400932,-2391.3429721571,20.91807052
../images/mask_set/2high_exsertion_low_seed_set/126.tif,2high_exsertion_low_seed_set,0.4375,96,42,7083,1.0105263158,0.4421052632,26,32.72,0.5636939465,-2324.2857737582,25.3539687634
